pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,charged_to_batt_w,soc,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
0.0,1138.9722661653266,0.0,0.0,0.0,0.643254402780672,0.0,1068.9722661653266,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.881572956222,0.0,0.0,0.0,0.6381009536277906,0.0,1067.881572956222,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.8746418054536,0.0,0.0,0.0,0.632938477894976,0.0,1069.8746418054536,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1141.9102846410024,0.0,0.0,0.0,0.6277667827652613,0.0,1071.9102846410024,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.0285479073289,0.0,0.0,0.0,0.6226126679649564,0.0,1068.0285479073289,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1141.0080930310357,0.0,0.0,0.0,0.617445058847968,0.0,1071.0080930310357,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.9394847632552,0.0,0.0,0.0,0.6122868184278445,0.0,1068.9394847632552,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.4142543354753,0.0,0.0,0.0,0.6071309567687164,0.0,1068.4142543354753,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.785939280091,0.0,0.0,0.0,0.6019688827683537,0.0,1069.785939280091,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.9295153551611,0.0,0.0,0.0,0.5968152164850423,0.0,1067.9295153551611,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.8927013893058,0.0,0.0,0.0,0.5916571879461415,0.0,1068.8927013893058,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1137.6042442148223,0.0,0.0,0.0,0.5865049948111106,0.0,1067.6042442148223,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1143.9294502658327,0.0,0.0,0.0,0.5813241549095444,0.0,1073.9294502658327,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.0705271039435,0.0,0.0,0.0,0.5761607920150519,0.0,1070.0705271039435,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1138.600548984015,0.0,0.0,0.0,0.5710040866301606,0.0,1068.600548984015,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.4279598214684,0.0,0.0,0.0,0.5658391049280705,0.0,1070.4279598214684,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.7753439006183,0.0,0.0,0.0,0.5606770789140278,0.0,1069.7753439006183,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.5580608009336,0.0,0.0,0.0,0.5555160369719946,0.0,1069.5580608009336,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1541.2283334000867,0.0,0.0,0.0,0.5485358361866681,0.0,1071.2283334000867,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1541.5150154200946,0.0,0.0,0.0,0.5415543370226279,0.0,1071.5150154200946,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1538.938997704779,0.0,0.0,0.0,0.5345845046054867,0.0,1068.938997704779,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1538.8483635187106,0.0,0.0,0.0,0.5276150826692606,0.0,1068.8483635187106,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1539.4498966056967,0.0,0.0,0.0,0.5206429363984014,0.0,1069.4498966056967,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1535.3961576705287,0.0,0.0,0.0,0.5136891494524298,0.0,1065.3961576705287,0.0,0.0,0.0,60.0,0.0,0.0,0.0,410.0,0.0,0.0
0.0,1136.969617875603,0.0,0.0,0.0,0.5085398305308918,0.0,1066.969617875603,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1142.733748534889,0.0,0.0,0.0,0.503364405945136,0.0,1072.733748534889,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1143.2899354270025,0.0,0.0,0.0,0.4981864623970064,0.0,1073.2899354270025,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1139.5019279208873,0.0,0.0,0.0,0.49302567467997344,0.0,1069.5019279208873,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1141.1531139261115,0.0,0.0,0.0,0.487857408765453,0.0,1071.1531139261115,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1140.6225003090872,0.0,0.0,0.0,0.48269154599231406,0.0,1070.6225003090872,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1146.1577616169104,0.0,0.0,0.0,0.47750061410093314,0.0,1076.1577616169104,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,1142.2391498228692,0.0,0.0,0.0,0.47232742954557594,0.0,1072.2391498228692,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0
