pv_to_load_w,batt_to_load_w,grid_to_load_w,pv_surplus_w,soc,bank,pscore,critical_pv_w,critical_batt_w,critical_grid_w,critical_unmet_w,essential_pv_w,essential_batt_w,essential_grid_w,essential_unmet_w,nonessential_pv_w,nonessential_batt_w,nonessential_grid_w,nonessential_unmet_w
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1067.836903992771,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1073.374283270145,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1071.7632795138989,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1069.9840547173667,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1072.95988827778,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1070.1547366152954,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1068.2774315973434,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1073.0462481545392,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1071.0778200873692,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1067.925507691347,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1069.6193226438327,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.754491163040134,0.0,0.0,0.0,1068.2487634932304,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,1.9066296024170082,0.0,0.0,0.0,1067.2344005380714,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.2966899537795209,Rainy,2.0265173602391435,0.0,0.0,0.0,1071.8523550950633,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0
